Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Estelle Tieberghien, Pablo Ruiz Fabo, Frédérique Mélanie-Bécquet, Thierry Poibeau, Tim Causer, Melissa Terras;Mapping the Bentham Corpus;https://dblp.org/rec/conf/dihu/TieberghienFMPC16;https://scholar.google.com/scholar?cluster=14900434803554900972;1;Long Paper
Grace Muzny, Mark Algee-Hewitt, Dan Jurafsky;The Dialogic Turn and the Performance of Gender: the English Canon 1782-2011;https://dblp.org/rec/conf/dihu/MuznyAJ16;https://scholar.google.com/scholar?cluster=16548750745572768802;2;Long Paper
Kiyonori Nagasaki, Toru Tomabechi, A. Charles Muller, Masahiro Shimoda;Digital Humanities in Cultural Areas Using Texts That Lack Word Spacing;https://dblp.org/rec/conf/dihu/NagasakiTMS16;https://scholar.google.com/scholar?cluster=8270682256376908321;3;Long Paper
James O'Sullivan, Michelle Shade, Ben Rowles;Player-Driven Content: Analysing Textual Communications in Online Roleplay;https://dblp.org/rec/conf/dihu/OSullivanSR16;https://scholar.google.com/scholar?cluster=17590662582805986086;1;Long Paper
Kevin R. Page, Terhi Nurmikko-Fuller, Carolin Rindfleisch, David M. Weigl;Digital Annotation Tooling for Opera Performance Studies;https://dblp.org/rec/conf/dihu/PageNRW16;https://scholar.google.com/scholar?cluster=17270739878460061061;1;Long Paper
Adam Tomasz Pawlowski;Chronological corpora: Challenges and opportunities of sequential analysis. The example of ChronoPress corpus of Polish;https://dblp.org/rec/conf/dihu/Pawlowski16;https://scholar.google.com/scholar?cluster=10267452136874875033;3;Long Paper
Heather Richards-Rissetto;An Iterative 3DGIS Analysis of the Role of Visibility in Ancient Landscapes;https://dblp.org/rec/conf/dihu/Richards-Rissetto16;https://scholar.google.com/scholar?cluster=7216579445463887392;2;Long Paper
Alexandre Rigal, Dario Rodighiero, Loup Cellard;The Trajectories Tool: Amplifying Network Visualization Complexity;https://dblp.org/rec/conf/dihu/RigalRC16;https://scholar.google.com/scholar?cluster=9763356290816258798;4;Long Paper
Marine Riguet, Suzanne Mpouli;À la Croisée des Discours Littéraire et Scientifique : La Comparaison comme Haute Figure Dialogique;https://dblp.org/rec/conf/dihu/RiguetM16;https://scholar.google.com/scholar?cluster=16973421828861907013;3;Long Paper
Glenn Roe, Clovis Gladstone, Robert Morrissey, Mark Olsen;Digging into ECCO: Identifying Commonplaces and other Forms of Text Reuse at Scale;https://dblp.org/rec/conf/dihu/RoeGMO16;https://scholar.google.com/scholar?cluster=13017310690424248813;2;Long Paper
Enrica Salvatori;Digicraft and 'Systemic' Thinking in Digital Humanities;https://dblp.org/rec/conf/dihu/Salvatori16;https://scholar.google.com/scholar?cluster=14287558349516472011;2;Long Paper
Christof Schöch, Daniel Schlör, Stefanie Popp, Annelen Brunner, Ulrike Henny, José Calvo Tello;Straight Talk! Automatic Recognition of Direct Speech in Nineteenth-Century French Novels;https://dblp.org/rec/conf/dihu/SchochSPBHT16;https://scholar.google.com/scholar?cluster=5739210873641308458;6;Long Paper
Susan Schreibman, John Buckley, Brian Hughes, Constantinos Papadopoulos;The Computer Graphic Simulation of the Battle at Mount Street Bridge. Problems, Perspectives, and Challenges;https://dblp.org/rec/conf/dihu/SchreibmanBHP16;https://scholar.google.com/scholar?cluster=13396370783009922512;2;Long Paper
David Lawrence Shepard, Takako Hashimoto, Tetsuji Kuboyama, Kilho Shin;What Do Boy Bands Tell Us About Disasters? The Social Media Response to the Nepal Earthquake;https://dblp.org/rec/conf/dihu/ShepardHKS16;https://scholar.google.com/scholar?cluster=10552146514846478564;1;Long Paper
James Smithies;Full Stack DH: Building a Virtual Research Environment on a Raspberry PI;https://dblp.org/rec/conf/dihu/Smithies16;https://scholar.google.com/scholar?cluster=10280795157623853747;1;Long Paper
Joanna Swafford;Read, Play, Build: Teaching Sherlock Holmes through Digital Humanities;https://dblp.org/rec/conf/dihu/Swafford16;https://scholar.google.com/scholar?cluster=4367767248342670155;2;Long Paper
