Wikidata item,Title,Authorlabel,Linkcount
http://www.wikidata.org/entity/Q369944,The Gulag Archipelago,Aleksandr Solzhenitsyn,38
http://www.wikidata.org/entity/Q845889,Murder on the Orient Express,Agatha Christie,38
http://www.wikidata.org/entity/Q245265,The God Delusion,Richard Dawkins,38
http://www.wikidata.org/entity/Q208556,Malleus Maleficarum,James Sprenger,38
http://www.wikidata.org/entity/Q208556,Malleus Maleficarum,Heinrich Kramer,38
http://www.wikidata.org/entity/Q442,Natural History,Pliny the Elder,37
http://www.wikidata.org/entity/Q917055,The Unbearable Lightness of Being,Milan Kundera,37
http://www.wikidata.org/entity/Q637839,The Kite Runner,Khaled Hosseini,37
http://www.wikidata.org/entity/Q272506,Phantom of the Opera,Gaston Leroux,37
http://www.wikidata.org/entity/Q1023470,Sahih al-Bukhari,Muhammad al-Bukhari,37
http://www.wikidata.org/entity/Q4384067,Code Geass,Ichirō Ōkouchi,37
http://www.wikidata.org/entity/Q371884,Timaeus,Plato,37
http://www.wikidata.org/entity/Q662550,Shakespeare's sonnets,William Shakespeare,37
http://www.wikidata.org/entity/Q655717,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,37
http://www.wikidata.org/entity/Q235795,A Farewell to Arms,Ernest Hemingway,37
http://www.wikidata.org/entity/Q457289,Siddhartha,Hermann Hesse,37
http://www.wikidata.org/entity/Q622634,Five Weeks in a Balloon,Jules Verne,37
http://www.wikidata.org/entity/Q393018,"I, Robot",Isaac Asimov,37
http://www.wikidata.org/entity/Q214132,And Then There Were None,Agatha Christie,37
http://www.wikidata.org/entity/Q193034,Leviathan,Thomas Hobbes,37
http://www.wikidata.org/entity/Q569869,The Praise of Folly,Erasmus,37
http://www.wikidata.org/entity/Q837140,The Hunger Games 2: Catching Fire,Suzanne Collins,36
http://www.wikidata.org/entity/Q374098,Atlas Shrugged,Ayn Rand,36
http://www.wikidata.org/entity/Q658375,The Fault in Our Stars,John Green,36
http://www.wikidata.org/entity/Q244161,Phaedo,Plato,36
http://www.wikidata.org/entity/Q331669,The Silver Chair,C. S. Lewis,36
http://www.wikidata.org/entity/Q29270,Systema Naturae,Carl Linnaeus,36
http://www.wikidata.org/entity/Q11880,The Snow Queen,Hans Christian Andersen,36
http://www.wikidata.org/entity/Q384635,The Diary of a Chambermaid,Octave Mirbeau,36
http://www.wikidata.org/entity/Q1213902,In Search of the Castaways,Jules Verne,36
http://www.wikidata.org/entity/Q53592,From the Earth to the Moon,Jules Verne,36
http://www.wikidata.org/entity/Q223880,Emma,Jane Austen,36
http://www.wikidata.org/entity/Q457977,Of Mice and Men,John Steinbeck,36
http://www.wikidata.org/entity/Q627333,The Time Machine,H. G. Wells,36
http://www.wikidata.org/entity/Q129778,Heart of Darkness,Joseph Conrad,35
http://www.wikidata.org/entity/Q271697,Heidi,Johanna Spyri,35
http://www.wikidata.org/entity/Q373536,Jonathan Livingston Seagull,Richard Bach,35
http://www.wikidata.org/entity/Q648889,Euthyphro,Plato,35
http://www.wikidata.org/entity/Q157360,The Horse and His Boy,C. S. Lewis,35
http://www.wikidata.org/entity/Q163027,Grimms' Fairy Tales,Brothers Grimm,35
http://www.wikidata.org/entity/Q163027,Grimms' Fairy Tales,Jacob Grimm,35
http://www.wikidata.org/entity/Q163027,Grimms' Fairy Tales,Wilhelm Grimm,35
http://www.wikidata.org/entity/Q471005,The Mysterious Island,Jules Verne,35
http://www.wikidata.org/entity/Q372941,Confessions,Augustine of Hippo,35
http://www.wikidata.org/entity/Q472228,The Mysterious Affair at Styles,Agatha Christie,35
http://www.wikidata.org/entity/Q1539509,The Invisible Man,H. G. Wells,35
http://www.wikidata.org/entity/Q212789,The Selfish Gene,Richard Dawkins,35
http://www.wikidata.org/entity/Q308982,Eldest,Christopher Paolini,34
http://www.wikidata.org/entity/Q243556,The Godfather,Mario Puzo,34
http://www.wikidata.org/entity/Q300370,A Clash of Kings,George R. R. Martin,34
http://www.wikidata.org/entity/Q192649,The Red and the Black,Stendhal,34
http://www.wikidata.org/entity/Q107790,The Green Book,Muammar al-Gaddafi,34
http://www.wikidata.org/entity/Q746583,Histories,Herodotus,34
http://www.wikidata.org/entity/Q224078,The Murder of Roger Ackroyd,Agatha Christie,34
http://www.wikidata.org/entity/Q828296,Death in Venice,Thomas Mann,34
http://www.wikidata.org/entity/Q212898,The Magic Mountain,Thomas Mann,34
http://www.wikidata.org/entity/Q623394,Carrie,Stephen King,34
http://www.wikidata.org/entity/Q463108,The Neverending Story,Michael Ende,33
http://www.wikidata.org/entity/Q654562,The Travels of Marco Polo,Rustichello da Pisa,33
http://www.wikidata.org/entity/Q320713,Cantar de Mio Cid,anonymity,33
http://www.wikidata.org/entity/Q743180,On the Road,Jack Kerouac,33
http://www.wikidata.org/entity/Q331656,The Voyage of the Dawn Treader,C. S. Lewis,33
http://www.wikidata.org/entity/Q654562,The Travels of Marco Polo,Marco Polo,33
http://www.wikidata.org/entity/Q465360,A Portrait of the Artist as a Young Man,James Joyce,33
http://www.wikidata.org/entity/Q29424,Fathers and Sons,Ivan Turgenev,33
http://www.wikidata.org/entity/Q152267,White Fang,Jack London,33
http://www.wikidata.org/entity/Q726254,The Wonderful Adventures of Nils,Selma Lagerlöf,33
http://www.wikidata.org/entity/Q265954,Slaughterhouse-Five,Kurt Vonnegut,33
http://www.wikidata.org/entity/Q459303,Perfume,Patrick Süskind,32
http://www.wikidata.org/entity/Q334896,The Black Book of Communism,Stéphane Courtois,32
http://www.wikidata.org/entity/Q597697,Bardo Thodol,Padmasambhava,32
http://www.wikidata.org/entity/Q722678,Augustan History,Iulius Capitolinus,32
http://www.wikidata.org/entity/Q75561,Catechism of the Catholic Church,Congregation for the Doctrine of the Faith,32
http://www.wikidata.org/entity/Q722678,Augustan History,Flavius Vopiscus,32
http://www.wikidata.org/entity/Q722678,Augustan History,Trebellius Pollio,32
http://www.wikidata.org/entity/Q722678,Augustan History,Aelius Lampridius,32
http://www.wikidata.org/entity/Q722678,Augustan History,Aelius Spartianus,32
http://www.wikidata.org/entity/Q722678,Augustan History,Vulcacius Gallicanus,32
http://www.wikidata.org/entity/Q334896,The Black Book of Communism,Nicolas Werth,32
http://www.wikidata.org/entity/Q334896,The Black Book of Communism,Andrzej Paczkowski,32
http://www.wikidata.org/entity/Q695116,Notes from Underground,Fyodor Dostoyevsky,32
http://www.wikidata.org/entity/Q500930,Organon,Aristotle,32
http://www.wikidata.org/entity/Q208571,Agenda 21,United Nations,32
http://www.wikidata.org/entity/Q374204,Life of Pi,Yann Martel,32
http://www.wikidata.org/entity/Q334896,The Black Book of Communism,Joachim Gauck,32
http://www.wikidata.org/entity/Q381756,Death on the Nile,Agatha Christie,32
http://www.wikidata.org/entity/Q860831,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,32
http://www.wikidata.org/entity/Q669694,A Doll's House,Henrik Ibsen,32
http://www.wikidata.org/entity/Q476871,The Call of the Wild,Jack London,32
http://www.wikidata.org/entity/Q718289,Brisingr,Christopher Paolini,31
http://www.wikidata.org/entity/Q309019,Unfinished Tales,Christopher Tolkien,31
http://www.wikidata.org/entity/Q816016,Ender's Game,Orson Scott Card,31
http://www.wikidata.org/entity/Q863534,Walden,Henry David Thoreau,31
http://www.wikidata.org/entity/Q612688,The Fountainhead,Ayn Rand,31
http://www.wikidata.org/entity/Q605249,Do Androids Dream of Electric Sheep?,Philip K. Dick,31
